station code,Station name,Type of water body,srcYear,srcStateName,Minimum temperature of water,Maximum temperature of water,Minimum dissolved oxygen.,Maximum dissolved oxygen.,Minimum potential of Hydrogen(Ph) values.,Maximum potential of Hydrogen(Ph) values.,Minimum conductivity required for water quality,Maximum conductivity required for water quality,Minimum biochemical oxygen demand (BOD) required for water quality,Maximum biochemical oxygen demand (BOD) required for water quality,Minimum  of Nitrate N + Nitrite N required,Maximum  of Nitrate N + Nitrite N required,Minimum  of Faecal Coliforms(coliform bacteria is associated with faecal matter) .,Maximum   of Faecal Coliforms(coliform bacteria is associated with faecal matter) .,Minimum coliform required for different water bodies,Maximum coliform required for different water bodies,YearCode,Year
4197,CHATURDASH DEBATA BARI POND,POND,2020,TRIPURA,22,29,6,7.1,6.1,7.1,119,184,0.1,1.3,0.75,1.08,15,39,46,120,2020,"Calendar Year (Jan - Dec), 2020"
4221,KATAL DIGHI POND,POND,2020,TRIPURA,23,29,5.5,6.9,6.5,7.4,127,184,0.5,1.6,0.31,1.12,15,49,40,150,2020,"Calendar Year (Jan - Dec), 2020"
1364,"RAMGARH LAKE, U.P.",LAKE,2020,UTTAR PRADESH,14,26,6.2,9.4,8,8.3,426,498,4.8,6.2,,,18000,28000,30000,50000,2020,"Calendar Year (Jan - Dec), 2020"
2499,"SAMARPUR JHEEL, RAEBARELI",LAKE,2020,UTTAR PRADESH,21,28,0.3,8,7.8,8.2,259,411,4,4.6,0.78,0.9,3900,4900,5100,7000,2020,"Calendar Year (Jan - Dec), 2020"
4729,JOREPOKHARI LAKE AT SUKHIAPOKHARI,LAKE,2020,WEST BENGAL,4,14,6.9,7.8,6.8,8,10,135,1,1.4,0.3,2.28,60,260,110,330,2020,"Calendar Year (Jan - Dec), 2020"
2398,"DIMNA LAKE, DIMNA",LAKE,2020,JHARKHAND,15,33,7.2,7.8,7.4,7.5,152,162,0.7,1.1,1.28,1.76,,,,,2020,"Calendar Year (Jan - Dec), 2020"
1790,"PULICATE LAKE , NELLORE DIST",LAKE,2020,ANDHRA PRADESH,21,26,3.8,4.8,7,8.4,18830,57090,2.2,2.8,0.74,1.45,3,3,75,210,2020,"Calendar Year (Jan - Dec), 2020"
2353,"KONDAKARLA-AAVA LAKE, PARAWADA PHARMA CITY, VISHAKHAPATNAM",LAKE,2020,ANDHRA PRADESH,25,28,3.6,6.8,7.1,8.3,580,890,2.4,4.8,1.03,4.52,15,23,150,460,2020,"Calendar Year (Jan - Dec), 2020"
4368,"KOLLERU LAKE KOKKIRAYALANKA (V), KAILALUR (M)",LAKE,2020,ANDHRA PRADESH,23,29,0.5,5.4,6.8,8.4,675,13800,1.7,6.2,1.3,8.62,11,23,150,1100,2020,"Calendar Year (Jan - Dec), 2020"
4391,"CHENGAMBAKAM TANK IN SRI CITY SEZ, TIRUPATHI",TANK,2020,ANDHRA PRADESH,26,30,5.3,6.7,6.4,7.6,206,670,0.8,2.5,0.11,3.3,47,200,210,600,2020,"Calendar Year (Jan - Dec), 2020"
1529,"DEEPAR BEEL, ASSAM",LAKE,2020,ASSAM,18,35,7.2,10.2,7.3,8,188,240,2.1,3.8,1,1.8,300,910,720,1500,2020,"Calendar Year (Jan - Dec), 2020"
2205,"MER BEEL AT MADHABPUR, ASSAM",LAKE,2020,ASSAM,20,28,4.2,6.8,6.8,7.6,25,140,1.1,2.4,0.6,1,300,360,720,1400,2020,"Calendar Year (Jan - Dec), 2020"
2206,"DALONI BEEL NEAR JOGIGHOPA, ASSAM",LAKE,2020,ASSAM,22,34,4.1,5.4,7,8.1,43,67,1.1,2.4,0.4,1.1,2,360,300,910,2020,"Calendar Year (Jan - Dec), 2020"
2218,"DEEPAR BEEL AT BORAGAON NEAR IASST, GUWAHATI, ASSAM",LAKE,2020,ASSAM,18,32,4.5,11.2,7.1,8,189,244,2.8,3.9,1.2,2,300,730,360,1500,2020,"Calendar Year (Jan - Dec), 2020"
3785,"BORBEEL NO. 1 , RAM NAGAR, DIGBOI, PUBLIC WATER SUPPLY, TINSUKIA",LAKE,2020,ASSAM,24,25,0.3,0.3,7.3,7.4,177,273,1.1,2.3,0.7,0.7,2,2,2,2,2020,"Calendar Year (Jan - Dec), 2020"
3787,"HOLUDUNGA BEEL NEAR GAI NADI/ RIVER AT SOMARAJAN, DHEMA JI",LAKE,2020,ASSAM,20,27,5,9,7.1,7.8,68,94,1.8,2.4,0.5,0.9,300,730,700,2000,2020,"Calendar Year (Jan - Dec), 2020"
3789,"BORDOIBAM BEELMUKH BIRD SANCTUARY, DHEMAJI",LAKE,2020,ASSAM,20,25,5,7.6,7,8,189,218,1.3,2.6,0.7,1.4,300,730,700,2000,2020,"Calendar Year (Jan - Dec), 2020"
3798,SAMAGURI BEEL IN NAGAON DISTRICT,LAKE,2020,ASSAM,17,35,4.1,5.8,7,7.6,89,116,1.3,2.8,0.7,1.2,300,730,360,1500,2020,"Calendar Year (Jan - Dec), 2020"
3800,MALINI BEEL NEAR INDUTRIAL AREA AT RAMNAGAR,LAKE,2020,ASSAM,20,25,4,4.5,6.2,7.4,126,152,2.1,2.6,0.7,1.1,300,360,360,1500,2020,"Calendar Year (Jan - Dec), 2020"
3804,SON BEEL WATER AT KARIMGANJ,LAKE,2020,ASSAM,21,25,4.1,5.8,6.8,7.3,106,150,1.3,2.3,0.6,1.3,300,720,720,2000,2020,"Calendar Year (Jan - Dec), 2020"
3808,PARASHALI BEEL AT DEMORIA,LAKE,2020,ASSAM,21,36,4,8.5,6.4,7.7,96,148,1.6,2.7,0.7,2,300,910,720,2100,2020,"Calendar Year (Jan - Dec), 2020"
3812,"KAMALPUR BEEL, KAMALPUR",LAKE,2020,ASSAM,18,35,1.4,5.6,7,7.7,1139,1168,22.5,29.2,1.6,4.6,360,1100,1400,3500,2020,"Calendar Year (Jan - Dec), 2020"
3814,"SILSAKO BEEL, CHACHAL, GUWAHATI",LAKE,2020,ASSAM,20,34,0.3,2.4,6.9,7.8,480,530,13,16.3,1.1,2.2,1100,2900,2700,4400,2020,"Calendar Year (Jan - Dec), 2020"
3819,"SORU SOLA BEEL, PALTAN BAZAR, GUWAHATI",LAKE,2020,ASSAM,20,33,0.3,2.3,6.8,7.5,471,526,25,28.5,1,7,1400,3900,3900,12000,2020,"Calendar Year (Jan - Dec), 2020"
3820,"BORSOLA BEEL, SARABBHATTI, GUWAHATI",LAKE,2020,ASSAM,20,34,0.3,2.2,6.8,7.5,436,529,25.5,34.8,1.2,4.1,2000,4300,2800,15000,2020,"Calendar Year (Jan - Dec), 2020"
3821,"DIPLAI BEEL AT SILGARA, KOKRAJHAR",LAKE,2020,ASSAM,21,34,4.1,5.1,7.1,7.5,43,65,1.2,2.4,0.6,1,300,730,360,1400,2020,"Calendar Year (Jan - Dec), 2020"
4337,"KAMALABARI LAKE INSIDE KAMALABARI CHILDREN,S PARK, GELEKY",LAKE,2020,ASSAM,17,32,4.5,7.6,6.7,7.6,31,59,1.3,2.6,0.2,1.1,2,2,2,930,2020,"Calendar Year (Jan - Dec), 2020"
1263,"ELANGABEEL SYSTEM POND (CONNECTED TO R. KOLANG), ASSAM",POND,2020,ASSAM,18,34,1,6.6,7,7.8,847,1004,2.3,2.9,1.2,1.8,300,1100,720,2800,2020,"Calendar Year (Jan - Dec), 2020"
2207,"BOR BEEL AT JAKAI., ASSAM",POND,2020,ASSAM,20,26,4.2,7.7,6.9,7.4,153,203,1,2.8,0.6,1.1,300,910,720,2100,2020,"Calendar Year (Jan - Dec), 2020"
2208,"BORPUKHURI, NAZIRA, ASSAM",POND,2020,ASSAM,19,31,5.2,7.4,7.1,7.8,28,62,1.4,2.4,0.6,1.1,2,360,2,910,2020,"Calendar Year (Jan - Dec), 2020"
2209,"GAURISAGAR TANK, GAURISAGAR, ASSAM",POND,2020,ASSAM,20,31,6,7.5,7,7.8,22,33,1,2.4,0.1,0.9,2,360,300,730,2020,"Calendar Year (Jan - Dec), 2020"
2210,"RAJMAW PUKHURI, JORHAT, ASSAM",POND,2020,ASSAM,19,33,6.3,7.9,6.8,8.1,80,93,1.9,2.3,0.4,1.6,2,910,300,1500,2020,"Calendar Year (Jan - Dec), 2020"
2211,"PADUMPUKHURI, TEZPUR, ASSAM",POND,2020,ASSAM,21,32,6.8,8,7,8.2,273,313,1.2,2.6,0.7,1.2,300,910,720,2000,2020,"Calendar Year (Jan - Dec), 2020"
2212,"GOPHUR TANK, GOPHUR, ASSAM",POND,2020,ASSAM,19,34,6.6,8,7,7.8,83,101,1.9,2.5,0.8,1.1,2,730,730,1500,2020,"Calendar Year (Jan - Dec), 2020"
2213,"JAIPAL PUKHURI, SIPAJHAR, ASSAM",POND,2020,ASSAM,21,32,7,8.3,7.2,8.2,168,190,1.3,2.4,0.4,1.1,300,1100,720,2700,2020,"Calendar Year (Jan - Dec), 2020"
2214,"BOTODRIVA SATRA POND, NAGAON, ASSAM",POND,2020,ASSAM,20,34,4.2,7.6,7,7.7,41,60,1.6,2.6,0.7,1.6,300,730,720,2000,2020,"Calendar Year (Jan - Dec), 2020"
2215,"SARAN BEEL, ASSAM",POND,2020,ASSAM,20,34,4.3,10,7,7.7,57,84,1.6,2.4,0.7,2,2,730,300,2000,2020,"Calendar Year (Jan - Dec), 2020"
2216,"DIGHALI PUKHURI, GUWAHATI, ASSAM",POND,2020,ASSAM,20,34,5.1,10.5,7.2,8,176,227,2.2,2.8,0.8,1.5,300,910,730,2000,2020,"Calendar Year (Jan - Dec), 2020"
2217,"SUBHAGYA KUNDA POND KAMAKHYA TEMPLE, GUWAHATI, ASSAM",POND,2020,ASSAM,18,32,5.2,10.6,7,7.6,229,395,2.2,2.6,1,2.1,730,1500,1400,3500,2020,"Calendar Year (Jan - Dec), 2020"
2219,"BISHNU PUSKAR PUKHURI OF HAYAGRIB MADHAB TEMPLE, HAJO, ASSAM",POND,2020,ASSAM,20,35,4.8,10.5,6.8,8,216,250,2,4.2,1,1.8,300,730,720,2100,2020,"Calendar Year (Jan - Dec), 2020"
2220,"CHAND DUBI BEEL, CHAND DUBI, ASSAM",POND,2020,ASSAM,20,34,5.5,11.4,6.8,7.7,30,92,1.4,2.4,0.6,1,2,910,360,2800,2020,"Calendar Year (Jan - Dec), 2020"
3179,SAIPEM LAKE,LAKE,2020,GOA,28,30,4.1,5.8,7,7.3,176,358,0.1,5,0.63,2.59,3300,7000,4900,11000,2020,"Calendar Year (Jan - Dec), 2020"
2221,"GANGA PUKHURI, NALBARI (GORDON SCHOOL), ASSAM",POND,2020,ASSAM,19,36,6.4,11.1,7.2,8.2,47,64,1.7,2.3,0.6,1.6,300,910,1100,2100,2020,"Calendar Year (Jan - Dec), 2020"
2222,"RAJADINIA PUKHURI AT ABHAYAPURI, ASSAM",POND,2020,ASSAM,22,36,4,4.9,7.3,8.2,27,65,1.3,2.4,0.6,1.1,300,720,720,1500,2020,"Calendar Year (Jan - Dec), 2020"
2223,"MAHAMAYA MANDIR PUKHURI, ASSAM",POND,2020,ASSAM,22,35,4.1,4.8,7.2,7.7,49,70,1.3,2.7,0.4,1.1,2,910,360,2700,2020,"Calendar Year (Jan - Dec), 2020"
2224,"RAJAPUKHURI AT GAURIPUR, ASSAM",POND,2020,ASSAM,22,35,4.3,5.5,7,7.9,73,96,1.4,2.6,0.6,1.1,2,910,730,2100,2020,"Calendar Year (Jan - Dec), 2020"
2225,"BASKANDI POND INSIDE THE BASKANDI MADRASA, BASKANDI, ASSAM",POND,2020,ASSAM,20,24,4.1,5.2,7.2,7.6,96,131,2,2.7,0.7,1.3,300,730,300,2000,2020,"Calendar Year (Jan - Dec), 2020"
2226,"SIVASAGAR TANK (BORPUKHURI) NEAR SIVADOL, ASSAM",POND,2020,ASSAM,19,33,5.5,7.7,6.8,7.7,21,35,1.5,2.4,0.2,0.8,2,300,300,730,2020,"Calendar Year (Jan - Dec), 2020"
2227,"HORDAI PUKHURI, CHARAIDEW, ASSAM",POND,2020,ASSAM,19,32,4.8,7.2,6.7,7.8,22,57,1.8,2.5,0.4,1.1,2,2,2,730,2020,"Calendar Year (Jan - Dec), 2020"
2228,"GALA BEEL AT DERGAON, ASSAM",POND,2020,ASSAM,20,30,6.7,9.5,7,7.7,36,65,1.3,2.3,0.5,1,300,910,360,2000,2020,"Calendar Year (Jan - Dec), 2020"
3806,POND WATER FROM RAMKRISHNA MISSION AT HAILAKANDI,POND,2020,ASSAM,22,26,4.1,5.1,6.3,7.4,158,170,2,2.3,0.6,1.3,300,910,300,2100,2020,"Calendar Year (Jan - Dec), 2020"
3809,JORPUKHURI AT UZANBAZAR (UGRATALA TEMPLE),POND,2020,ASSAM,20,35,4.2,10.3,7,7.7,387,421,2.2,2.7,0.8,1.8,360,1100,910,3500,2020,"Calendar Year (Jan - Dec), 2020"
4006,NETAI PUKHURI AT NETAI PUKHURI,POND,2020,ASSAM,20,31,5.6,8,6.8,7.9,21,34,1.9,2.5,0.3,1.4,2,300,300,730,2020,"Calendar Year (Jan - Dec), 2020"
4334,"THOWRADOLE PUKHURI, THOWRADOLE G.P. DEMOW BLOCK",POND,2020,ASSAM,19,33,4.2,7.8,7.2,7.8,49,71,1.4,2.4,0.4,1.6,2,360,300,910,2020,"Calendar Year (Jan - Dec), 2020"
1532,"GOYSAGAR TANK, SIBSAGAR, ASSAM",TANK,2020,ASSAM,20,30,6.6,7.3,6.7,7.6,21,31,1.3,2.3,0.7,1.1,2,2,300,600,2020,"Calendar Year (Jan - Dec), 2020"
2557,"KAWAR LAKE, BEGUSARAI",LAKE,2020,BIHAR,16,36,3.5,16,7.3,9,205,263,1.4,6.1,0.11,0.2,780,160000,2700,160000,2020,"Calendar Year (Jan - Dec), 2020"
2571,MOTI JHEEL AT MOTIHARII,LAKE,2020,BIHAR,17,30,4.5,16.6,7.3,9.7,627,1050,1.8,26,0.09,0.95,1100,28000,3300,160000,2020,"Calendar Year (Jan - Dec), 2020"
4296,"SIKANDRAPUR, MUZAFFARPUR",LAKE,2020,BIHAR,19,32,1,22,7.2,9.5,397,991,1.9,18.4,0.11,0.68,2100,54000,4600,92000,2020,"Calendar Year (Jan - Dec), 2020"
2573,TIGHI TALAB AT GAYA,POND,2020,BIHAR,14,30,2.9,13,7.1,9,470,968,1.2,5,0.18,5.99,17000,160000,22000,160000,2020,"Calendar Year (Jan - Dec), 2020"
2574,SURAJ KUND AT GAYA,POND,2020,BIHAR,14,31,6,14,7.5,8.6,237,688,3,8,0.05,1.01,360,160000,3300,160000,2020,"Calendar Year (Jan - Dec), 2020"
2046,"SUKHNA LAKE, CHANDIGARH",LAKE,2020,CHANDIGARH,16,30,7.1,9.8,7.4,8.5,215,288,0.7,3.6,0.52,4,8,5449,9,80000,2020,"Calendar Year (Jan - Dec), 2020"
3163,"HITKASA TAILING DAM, RAJHARA, CHHATISGARH.(DALLI RAJHARA IRON ORE MINES, DALLI RAJHARA)",LAKE,2020,CHHATTISGARH,23,36,6.3,6.9,7.1,7.7,308,308,7,16,0.44,0.44,1,360,6,1600,2020,"Calendar Year (Jan - Dec), 2020"
3164,"NEHRU NAGAR TALAB, BHILAI, CHHATISGARH.",POND,2020,CHHATTISGARH,24,33,6.5,7.4,7.1,7.6,322,322,1.6,86.4,0.36,0.36,5,300,1,1600,2020,"Calendar Year (Jan - Dec), 2020"
3030,"SANJAY LAKE, DELHI",LAKE,2020,DELHI,,,14.2,14.2,8.1,8.1,840,840,13,13,5.9,5.9,1700,1700,16000,16000,2020,"Calendar Year (Jan - Dec), 2020"
3031,"BHALSWA LAKE, DELHI",LAKE,2020,DELHI,,,,,8.1,8.1,5250,5250,82,82,1.74,1.74,8200,8200,920000,920000,2020,"Calendar Year (Jan - Dec), 2020"
3476,"LAKE NEAR IIT FLYOVER, DELHI",LAKE,2020,DELHI,,,14.2,14.2,8.2,8.2,670,670,38,38,24.92,24.92,220,220,3500,3500,2020,"Calendar Year (Jan - Dec), 2020"
1549,"SALAULIM LAKE AT SALAULIM - SANGUEM, GOA",LAKE,2020,GOA,27,31,5.9,8.8,6.5,7.6,21,83,0.1,2.1,0.11,0.32,5,170,13,350,2020,"Calendar Year (Jan - Dec), 2020"
2269,"MAYEM LAKE, BICHOLIM",LAKE,2020,GOA,27,32,5.6,7.9,5.6,6.9,42,72,0.1,0.1,0.11,0.32,1100,2300,2200,4900,2020,"Calendar Year (Jan - Dec), 2020"
3175,ANJUNEM LAKE,LAKE,2020,GOA,27,30,3.9,7.7,5.8,7.4,41,78,0.1,2,0.11,0.32,8,540,13,920,2020,"Calendar Year (Jan - Dec), 2020"
3176,RUMDER LAKE,LAKE,2020,GOA,27,31,1.3,6.2,6.1,7.4,81,15330,0.1,6.2,0.11,3.61,1300,7900,1700,14000,2020,"Calendar Year (Jan - Dec), 2020"
3177,CARAMBOLIM LAKE,LAKE,2020,GOA,26,31,4.8,8,6.3,8.1,34,395,0.1,3.6,0.11,0.51,490,2300,790,4900,2020,"Calendar Year (Jan - Dec), 2020"
3178,RAIA LAKE,LAKE,2020,GOA,26,30,4.4,8,6.1,8.7,28,267,0.1,3.7,0.11,4.78,1300,4900,2300,7900,2020,"Calendar Year (Jan - Dec), 2020"
3180,CURTORIM LAKE,LAKE,2020,GOA,26,30,1.6,8.7,6,7.5,62,1671,0.1,6.2,0.11,1.96,1100,7000,2300,9400,2020,"Calendar Year (Jan - Dec), 2020"
4408,HARWALE WATER FALL,LAKE,2020,GOA,27,31,7.3,8,6.2,7.3,55,153,0.1,2.3,0.11,0.45,1700,4900,3500,7000,2020,"Calendar Year (Jan - Dec), 2020"
1343,"KANKORIA LAKE AT AHMEDABAD, NR. BALVATIKA,",LAKE,2020,GUJARAT,25,30,5.2,8.7,7.9,8.9,2303,3840,1.8,21,0.07,0.41,6,82,94,430,2020,"Calendar Year (Jan - Dec), 2020"
1344,"CHANDOLA LAKE AT AHMEDABAD,",LAKE,2020,GUJARAT,25,30,5.7,8.2,7.3,8.3,36,601,2.7,6,0.03,0.33,15,92,120,460,2020,"Calendar Year (Jan - Dec), 2020"
1345,"AJWAH LAKE AT SRI SAYAJI SABVAR, BARODA,",LAKE,2020,GUJARAT,22,32,3.5,8.8,7.9,8.4,9,419,0.1,0.9,0.12,0.62,2,20,17,120,2020,"Calendar Year (Jan - Dec), 2020"
1346,"SURSAGAR LAKE AT BARODA,",LAKE,2020,GUJARAT,22,32,2.8,6.1,7.3,8.4,770,1299,0.1,5.1,0.18,0.74,21,540,120,920,2020,"Calendar Year (Jan - Dec), 2020"
1972,"NALSAROVAR LAKE (SANAND), DIST.AHMEDABAD",LAKE,2020,GUJARAT,26,30,5.7,8.2,7.5,9,281,13220,1.8,17,0.09,0.35,8,170,110,350,2020,"Calendar Year (Jan - Dec), 2020"
1973,"BINDUSAROVAR, SIDDHPUR (DIST.PATAN)",LAKE,2020,GUJARAT,21,33,5.5,8.2,7.2,8.2,1082,3113,0.9,6,0.05,6.9,5,33,40,170,2020,"Calendar Year (Jan - Dec), 2020"
3772,BORPUKHURI AT SONARI,POND,2020,ASSAM,18,32,5.3,7.9,6.9,7.7,69,89,1.6,2.4,0.6,1.7,2,360,2,1400,2020,"Calendar Year (Jan - Dec), 2020"
1975,"LAKHOTA TALAV, JAMNAGAR",LAKE,2020,GUJARAT,24,26,2.6,6.3,7.1,8.4,450,1360,0.4,3,0.28,0.32,6,7,17,27,2020,"Calendar Year (Jan - Dec), 2020"
1976,NARSIMEHTA TALAV- JUNAGADH,LAKE,2020,GUJARAT,22,28,2.6,8.9,7.3,8.4,355,1241,2.1,26.4,0.04,2.25,2,17,2,110,2020,"Calendar Year (Jan - Dec), 2020"
1977,CITY LAKE OF NADIAD,LAKE,2020,GUJARAT,20,34,3.1,7,7.4,8.7,651,1777,0.1,6.3,0.18,0.88,12,120,110,540,2020,"Calendar Year (Jan - Dec), 2020"
2076,ANKLESHWAR RESERVOIR AT GIDC ANKLESHWAR AT VALIA ROAD.,LAKE,2020,GUJARAT,28,32,6.1,7.8,7.3,8.4,354,565,0.1,0.9,0.07,0.32,17,26,33,70,2020,"Calendar Year (Jan - Dec), 2020"
2077,"MOTICHER LAKE NEAR KAKARPAR ATOMIC POWER STATION, DIST. SURAT.",LAKE,2020,GUJARAT,26,30,6.7,7.4,7,8.4,304,4533,0.2,1.5,0.05,0.15,2,12,12,63,2020,"Calendar Year (Jan - Dec), 2020"
2078,"KUWADAVA LAKE, VILL. KUWADAVA, DIST. RAJKOT.",LAKE,2020,GUJARAT,25,30,4.2,7.3,7.3,8.3,922,2350,2,2.7,0.03,0.75,2,2,2,8,2020,"Calendar Year (Jan - Dec), 2020"
3197,"MACHHU-II DAM, RAFLESHWAR, MORBI, RAJKOT",LAKE,2020,GUJARAT,24,30,5.4,7.2,6.4,8.5,502,1832,0.1,2.3,0.03,0.28,2,2,2,2,2020,"Calendar Year (Jan - Dec), 2020"
3198,"GOMTI LAKE, OPP, RANCHODAJI TEMPLE, DAKOR, KHEDA",LAKE,2020,GUJARAT,21,31,4.1,6.3,7.2,8.2,383,562,0.6,2.6,0.12,0.68,12,94,84,350,2020,"Calendar Year (Jan - Dec), 2020"
3199,"HAMISAR TALAV, BHUJ",LAKE,2020,GUJARAT,26,32,6.1,6.9,7,7.7,371,695,1.1,2.6,0.03,0.23,2,7,2,26,2020,"Calendar Year (Jan - Dec), 2020"
3200,MOONSAR LAKE OF VIRAMGAM,LAKE,2020,GUJARAT,27,30,0.6,8.3,8.4,9.2,704,18330,6,170,0.15,0.5,21,540,220,920,2020,"Calendar Year (Jan - Dec), 2020"
3201,"MALAV TALAV, DHOLKA",LAKE,2020,GUJARAT,27,30,4.6,8.6,9,9.3,2451,4408,6,24,0.04,0.32,26,540,120,920,2020,"Calendar Year (Jan - Dec), 2020"
3202,VHERAIMATA TALAV AT ANAND,LAKE,2020,GUJARAT,25,29,4.7,7.5,7.6,8.4,250,802,3.7,6.4,0.16,0.18,210,1600,920,1600,2020,"Calendar Year (Jan - Dec), 2020"
1979,"OLPAD, VILLAGE POND:OLPAD, SURAT",POND,2020,GUJARAT,26,30,6.5,7.8,7,8.4,532,7359,0.3,2.6,0.06,0.25,9,47,41,430,2020,"Calendar Year (Jan - Dec), 2020"
2079,"DHUDHIA TALAV AT NAVSARI, DIST. NAVSARI.",POND,2020,GUJARAT,24,34,5.2,7.4,7.1,8.5,324,4317,0.2,1.8,0.03,0.28,2,36,2,84,2020,"Calendar Year (Jan - Dec), 2020"
1971,THOL TANK (KALOL) (DIST. MEHASANA),TANK,2020,GUJARAT,24,30,4.3,8.2,7.2,8.4,420,843,4,20,0.04,0.66,4,170,8,470,2020,"Calendar Year (Jan - Dec), 2020"
1349,BRAHMSAROVAR LAKE AT KURUKSHETRA,LAKE,2020,HARYANA,14,28,7,10.5,7.2,8.1,216,1850,1.6,5.2,0.09,2.3,200,2000,140,11000,2020,"Calendar Year (Jan - Dec), 2020"
1392,"KAUSSHALAYA LAKE, PINJORE, PANCHKULA",LAKE,2020,HARYANA,14,29,6.7,9.6,7,8.4,329,905,1.2,7.6,0.06,3.14,130,26000,260,233000,2020,"Calendar Year (Jan - Dec), 2020"
3032,"SULTANPUR LAKE, DELHI",LAKE,2020,HARYANA,,,,,7.7,7.7,300,300,2.1,2.1,7.41,7.41,2,2,2,2,2020,"Calendar Year (Jan - Dec), 2020"
3033,SOHNA LAKE,LAKE,2020,HARYANA,5,13,6,6.8,7,7.9,340,920,4,19,2.1,9.3,,,,,2020,"Calendar Year (Jan - Dec), 2020"
4857,"SANHIT SAROVAR, KURUSHETRA",POND,2020,HARYANA,24,29,6.8,9.9,7.1,8.3,240,1720,2.2,7.5,0.05,2.38,100,100,110,1400,2020,"Calendar Year (Jan - Dec), 2020"
1291,GOBINDSAGAR LAKE AT BILASPUR,LAKE,2020,HIMACHAL PRADESH,16,22,8.3,10.1,7.3,8.5,169,397,0.1,0.4,0.1,3.39,63,140,280,920,2020,"Calendar Year (Jan - Dec), 2020"
1292,"PONGDAM LAKE AT PONG VILLAGE,",LAKE,2020,HIMACHAL PRADESH,13,28,8.1,9.6,6.7,8,178,306,0.1,0.3,0.07,1.3,2,2,25,70,2020,"Calendar Year (Jan - Dec), 2020"
1429,"RENUKA LAKE , 35 KM FROM PATNA SAHIB NORTH",LAKE,2020,HIMACHAL PRADESH,15,27,6.1,7.6,6.7,7.6,483,6124,0.8,2,0.01,1.23,12,33,38,170,2020,"Calendar Year (Jan - Dec), 2020"
2649,RIWALSAR LAKE,LAKE,2020,HIMACHAL PRADESH,16,24,5.6,9.6,7.1,8.1,144,204,1.6,9,0.06,1.68,49,350,350,1600,2020,"Calendar Year (Jan - Dec), 2020"
2650,KHAZIAR LAKE,LAKE,2020,HIMACHAL PRADESH,3,22,5.9,6.7,6.6,7.9,60,139,0.4,6.5,0.22,1.63,2,20,32,240,2020,"Calendar Year (Jan - Dec), 2020"
2738,(MANSAR LAKE AT MID POINT(MANSAR LAKE),LAKE,2020,JAMMU & KASHMIR,15,24,7.6,7.8,7.2,7.7,105,220,0.3,0.4,0.01,0.02,,,,,2020,"Calendar Year (Jan - Dec), 2020"
2739,MANSAR LAKE POINT OF DISCHARGE OF WASTE WATER FROM DIFFERENT ESTABLISHMENTS NEAR NAG TEMPLE,LAKE,2020,JAMMU & KASHMIR,15,24,6.2,7.6,7.3,7.9,110,234,0.4,0.6,0.02,0.03,,,,,2020,"Calendar Year (Jan - Dec), 2020"
2740,"(MANSAR LAKE AT MID POINT(SURINSAR LAKE), J&K",LAKE,2020,JAMMU & KASHMIR,8,24,5.4,6.8,8.1,8.2,120,212,3.2,4.8,0.03,0.04,,,,,2020,"Calendar Year (Jan - Dec), 2020"
2741,SURINSAR LAKE POINT OF DISCHARGE OF WASTE WATER FROM DIFFERENT ESTABLISHMENTS,LAKE,2020,JAMMU & KASHMIR,15,23,5.2,6.6,8.2,8.2,180,224,4,5.6,0.04,0.05,,,,,2020,"Calendar Year (Jan - Dec), 2020"
3251,DAL LAKE AT DALGATE,LAKE,2020,JAMMU & KASHMIR,11,26,6.2,8.8,7.3,7.7,135,250,2.4,3.1,,,,,,,2020,"Calendar Year (Jan - Dec), 2020"
3252,DAL LAKE AT CHAIRCHINARI,LAKE,2020,JAMMU & KASHMIR,18,29,5.5,8.7,7.4,8.2,128,234,2,3.3,,,,,,,2020,"Calendar Year (Jan - Dec), 2020"
3253,DAL LAKE NEAR NISHAT LAM,LAKE,2020,JAMMU & KASHMIR,18,27,4.5,9.6,7.3,8.6,154,284,3,5.6,,,,,,,2020,"Calendar Year (Jan - Dec), 2020"
3254,DAL LAKE AT ABIKARPORA,LAKE,2020,JAMMU & KASHMIR,19,29,3.7,8.5,7.1,8.4,126,239,2.2,3.2,,,,,,,2020,"Calendar Year (Jan - Dec), 2020"
3256,DAL LAKE AT ENTRY POINT OF TALIBAL NALLAH,LAKE,2020,JAMMU & KASHMIR,14,29,3.7,9.9,7.1,8.4,106,377,1,3.3,,,,,,,2020,"Calendar Year (Jan - Dec), 2020"
3257,DAL LAKE AT HABAK,LAKE,2020,JAMMU & KASHMIR,19,28,4.6,8.9,7.3,8,214,359,3.2,5.3,,,,,,,2020,"Calendar Year (Jan - Dec), 2020"
3258,DAL LAKE AT HAZRATBAL,LAKE,2020,JAMMU & KASHMIR,21,28,4.8,8.6,7.4,8.1,146,305,1.6,4.8,,,,,,,2020,"Calendar Year (Jan - Dec), 2020"
3259,DAL LAKE AT DHOBIGHAT,LAKE,2020,JAMMU & KASHMIR,19,29,5,8.4,7.2,8.5,133,281,2,4.6,,,,,,,2020,"Calendar Year (Jan - Dec), 2020"
3260,DAL LAKE AT SONALANK,LAKE,2020,JAMMU & KASHMIR,18,28,6.5,7.4,7.6,8.8,130,210,2,2.5,,,,,,,2020,"Calendar Year (Jan - Dec), 2020"
